Fault Code,Total_Occurrences
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
"Machine communication not as expected:Erratic, Intermittent, or Incorrect",177151
